common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Giant beaked whale,,,,,,,,,,Berardius arnuxii,berardius_arnuxii.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Arnoux%27s_beaked_whale_size.svg/220px-Arnoux%27s_beaked_whale_size.svg.png,images/berardius_arnuxii,south africa|japan,,,false,Giant_beaked_whale
Ginkgo-toothed beaked whale,Data Deficient,,,,,,,,,Mesoplodon ginkgodens,mesoplodon_ginkgodens.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Ginkgo-toothed_beaked_whale_size.svg/220px-Ginkgo-toothed_beaked_whale_size.svg.png,images/mesoplodon_ginkgodens,japan,,,false,Ginkgo-toothed_Beaked_Whale
Glareolidae,,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Small_pranticole.jpg/220px-Small_pranticole.jpg,images/,madagascar,,nocturnal,false,Glareolidae
Glaucous-winged gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus glaucescens,,Larus glaucescens,larus_glaucescens.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Glaucous-winged_gull.jpg/220px-Glaucous-winged_gull.jpg,images/larus_glaucescens,morocco,,,false,Glaucous-winged_Gull
Glaucous gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus hyperboreus,,Larus hyperboreus,larus_hyperboreus.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Glacous_Gull_on_ice.jpg/220px-Glacous_Gull_on_ice.jpg,images/larus_hyperboreus,,,,false,Glaucous_Gull
Gloomy tube-nosed bat,,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Murina,Murina tenebrosa,,Murina tenebrosa,murina_tenebrosa.html,,images/murina_tenebrosa,,,,false,Gloomy_Tube-nosed_Bat
Goldcrest,Least Concern,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,Regulus regulus,,Regulus regulus,regulus_regulus.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Regulus_regulus_60North_cropped.jpg/250px-Regulus_regulus_60North_cropped.jpg,images/regulus_regulus,morocco|japan,,,false,Goldcrest
Golden-crowned sparrow,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,Zonotrichia atricapilla,,Zonotrichia atricapilla,zonotrichia_atricapilla.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Zonotrichia_atricapilla_-British_Columbia%2C_Canada-8.jpg/220px-Zonotrichia_atricapilla_-British_Columbia%2C_Canada-8.jpg,images/zonotrichia_atricapilla,japan,,,false,Golden-crowned_Sparrow
Golden eagle,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,,Aquila chrysaetos,aquila_chrysaetos.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/GoldenEagle-Nova.jpg/220px-GoldenEagle-Nova.jpg,images/aquila_chrysaetos,ethiopia|guinea|egypt|tunisia|algeria|morocco|mali|niger|western sahara|mauritania|madagascar|japan,,diurnal|nocturnal,false,Golden_Eagle
Common merganser,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,Mergus merganser,,Mergus merganser,mergus_merganser.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg/220px-Mergus_merganser_-Sandwell_-England_-male-8.jpg,images/mergus_merganser,japan,,,false,Goosander
