common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Lesser short-toed lark,Least Concern,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calandrella,Calandrella rufescens,,Calandrella rufescens,calandrella_rufescens.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg/300px-Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg,images/calandrella_rufescens,,,,false,Lesser_Short-toed_Lark
Lesser spotted woodpecker,Least Concern,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos minor,,Dendrocopos minor,dendrocopos_minor.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/PicoidesMinorBack.jpg/220px-PicoidesMinorBack.jpg,images/dendrocopos_minor,,,,false,Lesser_Spotted_Woodpecker
Lesser white-fronted goose,Vulnerable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser erythropus,,Anser erythropus,anser_erythropus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Anser_erythropus.jpg/220px-Anser_erythropus.jpg,images/anser_erythropus,,,,false,Lesser_White-fronted_Goose
Lesser white-toothed shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura suaveolens,,Crocidura suaveolens,crocidura_suaveolens.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Gartenspitzmaus.jpg/240px-Gartenspitzmaus.jpg,images/crocidura_suaveolens,kenya|cameroon|congo|algeria|morocco,,,false,Lesser_White-toothed_Shrew
Lesser yellowlegs,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa flavipes,,Tringa flavipes,tringa_flavipes.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Lesser_Yellowlegs.jpg/220px-Lesser_Yellowlegs.jpg,images/tringa_flavipes,,,,false,Lesser_Yellowlegs
Lidth's jay,Vulnerable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,Garrulus lidthi,,Garrulus lidthi,garrulus_lidthi.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Garrulus_lidthi_Ueno_2013-10-06.jpg/300px-Garrulus_lidthi_Ueno_2013-10-06.jpg,images/garrulus_lidthi,japan,,,false,Lidth%27s_Jay
Little bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza pusilla,,Emberiza pusilla,emberiza_pusilla.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Little_Bunting.jpg/240px-Little_Bunting.jpg,images/emberiza_pusilla,,,,false,Little_Bunting
Little bustard,Near Threatened,Animalia,Chordata,Aves,Gruiformes,Otididae,Tetrax,Tetrax tetrax,,Tetrax tetrax,tetrax_tetrax.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Tetrax_male_1.JPG/220px-Tetrax_male_1.JPG,images/tetrax_tetrax,,,,false,Little_Bustard
Little curlew,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius minutus,,Numenius minutus,numenius_minutus.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Numenius_minutus_1.jpg/220px-Numenius_minutus_1.jpg,images/numenius_minutus,,,,false,Little_Curlew
Little egret,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta,,Egretta garzetta,egretta_garzetta.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Little_%28Yellow-footed%29_egrets.jpg/220px-Little_%28Yellow-footed%29_egrets.jpg,images/egretta_garzetta,cameroon|botswana|guinea|western sahara|comoros|madagascar|cape verde,,,false,Little_Egret
Little grebe,Least Concern,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,,Tachybaptus ruficollis,tachybaptus_ruficollis.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Little_grebe_Zwergtaucher.jpg/220px-Little_grebe_Zwergtaucher.jpg,images/tachybaptus_ruficollis,cameroon|zambia|guinea|western sahara|madagascar|japan,,,false,Little_Grebe
Little gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydrocoloeus,Hydrocoloeus minutus,,Hydrocoloeus minutus,hydrocoloeus_minutus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Bird_Yyterin_lietteet_4.jpg/220px-Bird_Yyterin_lietteet_4.jpg,images/hydrocoloeus_minutus,cameroon,,,false,Little_Gull
Little Japanese horseshoe bat,,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus cornutus,,Rhinolophus cornutus,rhinolophus_cornutus.html,,images/rhinolophus_cornutus,japan,,,false,Little_Japanese_Horseshoe_Bat
Little ringed plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius dubius,,Charadrius dubius,charadrius_dubius.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flussregenpfeifer_Little_ringed_plover.jpg/220px-Flussregenpfeifer_Little_ringed_plover.jpg,images/charadrius_dubius,cameroon|western sahara,,,false,Little_Ringed_Plover
Little stint,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris minuta,,Calidris minuta,calidris_minuta.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Little_Stint_%28Calidris_minuta%29_%281%29.jpg/220px-Little_Stint_%28Calidris_minuta%29_%281%29.jpg,images/calidris_minuta,cameroon|egypt|western sahara,,,false,Little_Stint
Little tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Sternula,Sternula albifrons,,Sternula albifrons,sternula_albifrons.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Sternula_albifrons_2_-_Little_Swanport.jpg/220px-Sternula_albifrons_2_-_Little_Swanport.jpg,images/sternula_albifrons,cameroon|south africa|western sahara|japan,,,false,Little_Tern
Long-billed dowitcher,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,Limnodromus scolopaceus,,Limnodromus scolopaceus,limnodromus_scolopaceus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Limnodromus_scolopaceus_Mike_Baird_crop.jpg/250px-Limnodromus_scolopaceus_Mike_Baird_crop.jpg,images/limnodromus_scolopaceus,western sahara,,,false,Long-billed_Dowitcher
Long-clawed shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex unguiculatus,,Sorex unguiculatus,sorex_unguiculatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Sorex_unguiculatus.jpg/220px-Sorex_unguiculatus.jpg,images/sorex_unguiculatus,kenya|cameroon|congo,,,false,Long-clawed_Shrew
Long-eared owl,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio otus,,Asio otus,asio_otus.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg/220px-Asio_otus_-Battlefield_Falconry_Centre%2C_Shrewsbury%2C_Shropshire%2C_England-8a.jpg,images/asio_otus,,,nocturnal,false,Long-eared_Owl
Long-tailed duck,Vulnerable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,Clangula hyemalis,,Clangula hyemalis,clangula_hyemalis.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Long-tailed-duck.jpg/220px-Long-tailed-duck.jpg,images/clangula_hyemalis,,,,false,Long-tailed_Duck
Long-tailed rosefinch,Least Concern,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Uragus,Uragus sibiricus,,Uragus sibiricus,uragus_sibiricus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Uragus_sibiricus.jpg/220px-Uragus_sibiricus.jpg,images/uragus_sibiricus,japan,,,false,Long-tailed_Rosefinch
Long-tailed shrike,Least Concern,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius schach,,Lanius schach,lanius_schach.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Long-tailed_Shrike_%28Lanius_schach-_erythronotus_race%29_in_Delhi_W2_Pix_051.jpg/220px-Long-tailed_Shrike_%28Lanius_schach-_erythronotus_race%29_in_Delhi_W2_Pix_051.jpg,images/lanius_schach,guinea|japan,,,false,Long-tailed_Shrike
Long-tailed jaeger,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius longicaudus,,Stercorarius longicaudus,stercorarius_longicaudus.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Long-tailed_Skua_%28js%29_26.jpg/220px-Long-tailed_Skua_%28js%29_26.jpg,images/stercorarius_longicaudus,cameroon,,,false,Long-tailed_Skua
Long-tailed tit,Least Concern,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,Aegithalos caudatus,,Aegithalos caudatus,aegithalos_caudatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg/240px-Long_tailed_Tit_on_a_washing_line_-_geograph.org.uk_-_1714032.jpg,images/aegithalos_caudatus,japan,,,false,Long-tailed_Tit
Long-toed stint,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris subminuta,,Calidris subminuta,calidris_subminuta.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Calidris_subminuta_-_Pak_Thale.jpg/220px-Calidris_subminuta_-_Pak_Thale.jpg,images/calidris_subminuta,south africa|guinea,,,false,Long-toed_Stint
Malayan night heron,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Gorsachius,Gorsachius melanolophus,,Gorsachius melanolophus,gorsachius_melanolophus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gorschkius_melanolothus_P1303824.jpg/220px-Gorschkius_melanolothus_P1303824.jpg,images/gorsachius_melanolophus,,,,false,Malayan_Night_Heron
Mallard,Least Concern,,,,,,,A. platyrhynchos,,Anas platyrhynchos,anas_platyrhynchos.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg/220px-Anas_platyrhynchos_male_female_quadrat.jpg,images/anas_platyrhynchos,south africa|morocco|japan,,,true,Mallard
Mandarin duck,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,Aix galericulata,,Aix galericulata,aix_galericulata.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mandarin_Pair.jpg/300px-Mandarin_Pair.jpg,images/aix_galericulata,japan,,,false,Mandarin_Duck
Marbled murrelet,Endangered,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Brachyramphus,Brachyramphus marmoratus,,Brachyramphus marmoratus,brachyramphus_marmoratus.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/WO_2087_Marbled_Murrelet.jpg/240px-WO_2087_Marbled_Murrelet.jpg,images/brachyramphus_marmoratus,,,,false,Marbled_Murrelet
Mariana fruit bat,Endangered,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus mariannus,,Pteropus mariannus,pteropus_mariannus.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/Mariana_Fruit_Bat.jpg/200px-Mariana_Fruit_Bat.jpg,images/pteropus_mariannus,niger|seychelles,,,false,Mariana_Fruit_Bat
Marsh sandpiper,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa stagnatilis,,Tringa stagnatilis,tringa_stagnatilis.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Tringa_stagnatilis_2_-_Laem_Pak_Bia.jpg/220px-Tringa_stagnatilis_2_-_Laem_Pak_Bia.jpg,images/tringa_stagnatilis,cameroon,,,false,Marsh_Sandpiper
Marsh tit,Least Concern,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile palustris,,Poecile palustris,poecile_palustris.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Parus_palustris02.jpg/250px-Parus_palustris02.jpg,images/poecile_palustris,japan,,,false,Marsh_Tit
Matsudaira's storm petrel,Data Deficient,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma matsudairae,,Oceanodroma matsudairae,oceanodroma_matsudairae.html,,images/oceanodroma_matsudairae,,,,false,Matsudaira%27s_Storm_Petrel
Melon-headed whale,Least Concern,,,,,,,,,Peponocephala electra,peponocephala_electra.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Melon-headed_whale_large.jpg/220px-Melon-headed_whale_large.jpg,images/peponocephala_electra,madagascar,,,false,Melon-headed_Whale
Merlin (bird),Least Concern,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco columbarius,,Falco columbarius,falco_columbarius.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Merlin_prey_fencepost_Cochrane_cropped.jpg/220px-Merlin_prey_fencepost_Cochrane_cropped.jpg,images/falco_columbarius,japan,,,false,Merlin_(bird)
Bee-eater,,Animalia,Chordata,Aves,Coraciiformes,Meropidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/European_bee_eater.jpg/240px-European_bee_eater.jpg,images/,angola|tanzania|congo|namibia|botswana|south africa|guinea|madagascar,,diurnal,false,Meropidae
Middendorff's grasshopper warbler,Least Concern,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella ochotensis,,Locustella ochotensis,locustella_ochotensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Locustella_ochotensis_1876.jpg/220px-Locustella_ochotensis_1876.jpg,images/locustella_ochotensis,japan,,,false,Middendorff%27s_Grasshopper_Warbler
Minke whale,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Minke_Whale_%28NOAA%29.jpg/220px-Minke_Whale_%28NOAA%29.jpg,images/,south africa|japan,,,false,Minke_whale
Mistle thrush,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,,Turdus viscivorus,turdus_viscivorus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Turdus_viscivorus_in_Baikonur-town_001.jpg/250px-Turdus_viscivorus_in_Baikonur-town_001.jpg,images/turdus_viscivorus,japan,,,false,Mistle_Thrush
Ryukyu kingfisher,Extinct,Animalia,Chordata,Aves,Coraciiformes,Halcyonidae,Todiramphus,Todiramphus miyakoensis,,Todiramphus miyakoensis,todiramphus_miyakoensis.html,,images/todiramphus_miyakoensis,japan,,,false,Miyako_Kingfisher
Lesser sand plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius mongolus,,Charadrius mongolus,charadrius_mongolus.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Charadrius_mongolus_-_Laem_Phak_Bia.jpg/220px-Charadrius_mongolus_-_Laem_Phak_Bia.jpg,images/charadrius_mongolus,,,,false,Mongolian_Plover
Mountain hare,Least Concern,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus timidus,,Lepus timidus,lepus_timidus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Mountain_Hare_Scotland.jpg/220px-Mountain_Hare_Scotland.jpg,images/lepus_timidus,japan,,,false,Mountain_Hare
Mountain hawk-eagle,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Nisaetus nipalensis,,Nisaetus nipalensis,nisaetus_nipalensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Hawkeagle.jpg/220px-Hawkeagle.jpg,images/nisaetus_nipalensis,guinea|madagascar|japan,,,false,Mountain_Hawk-Eagle
Muennink's spiny rat,Critically Endangered,Animalia,Chordata,Mammalia,Rodentia,Muridae,Tokudaia,Tokudaia muenninki,,Tokudaia muenninki,tokudaia_muenninki.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Tokudaia_muenninki_distribution.png/220px-Tokudaia_muenninki_distribution.png,images/tokudaia_muenninki,senegal|japan,,,false,Muennink%27s_Spiny_Rat
Mugimaki flycatcher,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula mugimaki,,Ficedula mugimaki,ficedula_mugimaki.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Ficedula_mugimaki_-_Khao_Yai.jpg/220px-Ficedula_mugimaki_-_Khao_Yai.jpg,images/ficedula_mugimaki,japan,,,false,Mugimaki_Flycatcher
Mute swan,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,,Cygnus olor,cygnus_olor.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Mute_Swan_Emsworth2.JPG/220px-Mute_Swan_Emsworth2.JPG,images/cygnus_olor,south africa|japan,,,false,Mute_Swan
Narcissus flycatcher,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula narcissina,,Ficedula narcissina,ficedula_narcissina.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Narcissus_Flycatcher-cropped.jpg/220px-Narcissus_Flycatcher-cropped.jpg,images/ficedula_narcissina,japan,,,true,Narcissus_Flycatcher
Natterer's bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,,Myotis nattereri,myotis_nattereri.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Chiroptera1.jpg/220px-Chiroptera1.jpg,images/myotis_nattereri,algeria|morocco,,nocturnal,false,Natterer%27s_bat
North Pacific right whale,Endangered,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Eubalaena,Eubalaena japonica,,Eubalaena japonica,eubalaena_japonica.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Eubalaena_japonica_drawing.jpg/220px-Eubalaena_japonica_drawing.jpg,images/eubalaena_japonica,japan,,,false,North_Pacific_Right_Whale
Northern bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus nilssonii,,Eptesicus nilssonii,eptesicus_nilssonii.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Eptesicus_nilssoni.jpg/240px-Eptesicus_nilssoni.jpg,images/eptesicus_nilssonii,japan,,nocturnal,false,Northern_Bat
Northern elephant seal,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,,Mirounga angustirostris,mirounga_angustirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Mating_scene_with_elevated_Alpha_Male._Elephant_Seals_of_Piedras_Blancas.jpg/250px-Mating_scene_with_elevated_Alpha_Male._Elephant_Seals_of_Piedras_Blancas.jpg,images/mirounga_angustirostris,,,nocturnal,false,Northern_Elephant_Seal
Northern fur seal,Vulnerable,,,,,,,C. ursinus,,Callorhinus ursinus,callorhinus_ursinus.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northfursealbull.jpg/300px-Northfursealbull.jpg,images/callorhinus_ursinus,japan,,,false,Northern_Fur_Seal
Northern goshawk,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,,Accipiter gentilis,accipiter_gentilis.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/220px-Northern_Goshawk_ad_M2.jpg,images/accipiter_gentilis,japan,,diurnal,false,Northern_Goshawk
Northern lapwing,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus,,Vanellus vanellus,vanellus_vanellus.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Northern-Lapwing-Vanellus-vanellus.jpg/220px-Northern-Lapwing-Vanellus-vanellus.jpg,images/vanellus_vanellus,,,,false,Northern_Lapwing
Northern pika,Least Concern,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona hyperborea,,Ochotona hyperborea,ochotona_hyperborea.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Ochotona_hyperborea_yesoensis_detail.jpg/240px-Ochotona_hyperborea_yesoensis_detail.jpg,images/ochotona_hyperborea,japan,,,false,Northern_Pika
Northern pintail,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas acuta,,Anas acuta,anas_acuta.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg/250px-Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg,images/anas_acuta,cameroon|western sahara|japan,,,false,Northern_Pintail
Northern red-backed vole,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes rutilus,,Myodes rutilus,myodes_rutilus.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Myodes_rutilus.jpeg/220px-Myodes_rutilus.jpeg,images/myodes_rutilus,,,nocturnal,false,Northern_Red-backed_Vole
Northern right whale dolphin,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Lissodelphis,Lissodelphis borealis,,Lissodelphis borealis,lissodelphis_borealis.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Anim1749_-_Flickr_-_NOAA_Photo_Library.jpg/250px-Anim1749_-_Flickr_-_NOAA_Photo_Library.jpg,images/lissodelphis_borealis,,,,false,Northern_Right_Whale_Dolphin
Northern shoveler,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas clypeata,,Anas clypeata,anas_clypeata.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Northern-Shoveler_Anas-clypeata.jpg/220px-Northern-Shoveler_Anas-clypeata.jpg,images/anas_clypeata,cameroon|western sahara|japan,,,false,Northern_Shoveler
Northern wheatear,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,,Oenanthe oenanthe,oenanthe_oenanthe.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Northern_wheatear_male09.JPG/220px-Northern_wheatear_male09.JPG,images/oenanthe_oenanthe,cameroon|western sahara,,,false,Northern_Wheatear
Pacific swift,Least Concern,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,Apus pacificus,,Apus pacificus,apus_pacificus.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/ApusPacificus.jpg/220px-ApusPacificus.jpg,images/apus_pacificus,seychelles|japan,,,false,Northern_White-rumped_Swift
Okinawa flying fox,Data Deficient,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Pteropus loochoensis,,Pteropus loochoensis,pteropus_loochoensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Okinawa_Flying_Fox_area.png/220px-Okinawa_Flying_Fox_area.png,images/pteropus_loochoensis,niger|seychelles|japan,,,true,Okinawa_Flying-fox
Okinawa rail,Endangered,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallirallus,Gallirallus okinawae,,Gallirallus okinawae,gallirallus_okinawae.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Okinawa_Rail.jpg/250px-Okinawa_Rail.jpg,images/gallirallus_okinawae,japan,,,true,Okinawa_Rail
Okinawa woodpecker,Critically Endangered,Animalia,Chordata,Aves,Piciformes,Picidae,Sapheopipo,Sapheopipo noguchii,,Sapheopipo noguchii,sapheopipo_noguchii.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/PicusNoguchiiKeulemans.jpg/220px-PicusNoguchiiKeulemans.jpg,images/sapheopipo_noguchii,japan,,,true,Okinawa_Woodpecker
Olive-backed pipit,Least Concern,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus hodgsoni,,Anthus hodgsoni,anthus_hodgsoni.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Olive_backed_Pipit.jpg/260px-Olive_backed_Pipit.jpg,images/anthus_hodgsoni,japan,,,false,Olive-backed_Pipit
Omura's whale,Data Deficient,Animalia,Chordata,Mammalia,Cetacea,Balaenoptiidae,Balaenoptera,Balaenoptera omurai,,Balaenoptera omurai,balaenoptera_omurai.html,,images/balaenoptera_omurai,south africa|japan,,,false,Omura%27s_whale
Killer whale,Data Deficient,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,Orcinus orca,,Orcinus orca,orcinus_orca.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Killerwhales_jumping.jpg/220px-Killerwhales_jumping.jpg,images/orcinus_orca,guinea|western sahara|seychelles|japan,,,false,Orca
Oriental cuckoo,Least Concern,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,Cuculus optatus,,Cuculus optatus,cuculus_optatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Oriental_Cuckoo_Maiala.JPG/220px-Oriental_Cuckoo_Maiala.JPG,images/cuculus_optatus,guinea|japan,,,false,Oriental_Cuckoo
Grey-capped greenfinch,Least Concern,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Chloris sinica,,Chloris sinica,chloris_sinica.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Kawarahiwa_05y0035s.jpg/240px-Kawarahiwa_05y0035s.jpg,images/chloris_sinica,japan,,,false,Oriental_Greenfinch
Oriental pratincole,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola,Glareola maldivarum,,Glareola maldivarum,glareola_maldivarum.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Glareola_maldivarum_-_Beung_Borapet.jpg/220px-Glareola_maldivarum_-_Beung_Borapet.jpg,images/glareola_maldivarum,japan,,,false,Oriental_Pratincole
Oriental scops owl,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,Otus sunia,,Otus sunia,otus_sunia.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/GlaucidiumCastanonotumLegge.jpg/220px-GlaucidiumCastanonotumLegge.jpg,images/otus_sunia,japan,,,false,Oriental_Scops_Owl
Oriental turtle dove,Least Concern,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,Streptopelia orientalis,,Streptopelia orientalis,streptopelia_orientalis.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Orientalturtledove.JPG/220px-Orientalturtledove.JPG,images/streptopelia_orientalis,japan,,,false,Oriental_turtle_dove
Ortolan bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza hortulana,,Emberiza hortulana,emberiza_hortulana.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Embhor.jpg/240px-Embhor.jpg,images/emberiza_hortulana,western sahara,,,false,Ortolan_Bunting
Osprey,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus,,Pandion haliaetus,pandion_haliaetus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/2010-kabini-osprey.jpg/220px-2010-kabini-osprey.jpg,images/pandion_haliaetus,cameroon|egypt|japan,,diurnal,false,Osprey
Bustard,,Animalia,Chordata,Aves,Gruiformes,Otididae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Ardeotis_kori_Etosha.JPG/300px-Ardeotis_kori_Etosha.JPG,images/,,,,false,Otidae
